#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.50,0.00
1,1000,0.51,1.96
2,1000,0.50,4.00
4,1000,0.50,8.00
8,1000,0.50,16.01
16,1000,0.50,32.29
32,1000,0.51,62.29
64,1000,0.51,125.13
128,1000,0.51,249.73
256,1000,0.52,489.82
512,1000,0.67,768.69
1024,1000,0.77,1325.58
2048,1000,0.92,2226.40
4096,1000,1.13,3624.17
8192,1000,1.58,5201.05
16384,1000,2.38,6877.62
32768,1000,3.47,9444.22
65536,640,5.68,11541.35
131072,320,8.71,15056.20
262144,160,15.04,17431.89
524288,80,42.02,12475.72
1048576,40,83.73,12523.97
2097152,20,156.21,13425.27
4194304,10,391.00,10727.20
8388608,5,1127.95,7437.02
16777216,2,2514.67,6671.74
33554432,1,5840.20,5745.43
67108864,1,11705.88,5732.92
134217728,1,23436.71,5726.82
268435456,1,48310.51,5556.46
