#mpirun -np 2 --map-by core --mca pml ob1 --mca btl self, ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.24,0.00
1,1000,0.27,3.70
2,1000,0.27,7.43
4,1000,0.27,14.65
8,1000,0.27,29.40
16,1000,0.29,55.28
32,1000,0.29,109.48
64,1000,0.33,194.47
128,1000,0.37,343.28
256,1000,0.45,572.88
512,1000,0.62,827.07
1024,1000,0.70,1462.21
2048,1000,0.88,2325.05
4096,1000,1.77,2314.35
8192,1000,2.07,3964.95
16384,1000,2.72,6028.63
32768,1000,3.56,9200.15
65536,640,5.50,11922.66
131072,320,8.75,14986.61
262144,160,18.29,14329.41
524288,80,36.73,14275.35
1048576,40,85.87,12211.73
2097152,20,207.22,10120.27
4194304,10,500.76,8375.87
8388608,5,1557.20,5386.98
16777216,2,3893.68,4308.84
33554432,1,8039.12,4173.89
67108864,1,16216.78,4138.24
134217728,1,32296.63,4155.78
268435456,1,63879.80,4202.20
