#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.49,0.00
1,1000,0.47,2.12
2,1000,0.50,3.99
4,1000,0.49,8.16
8,1000,0.51,15.66
16,1000,0.50,31.81
32,1000,0.52,62.02
64,1000,0.52,124.01
128,1000,0.50,254.46
256,1000,0.49,520.07
512,1000,0.76,672.05
1024,1000,0.84,1221.69
2048,1000,0.96,2134.68
4096,1000,1.14,3581.34
8192,1000,1.60,5132.81
16384,1000,2.43,6745.58
32768,1000,3.58,9140.91
65536,640,5.84,11223.15
131072,320,8.87,14779.04
262144,160,15.66,16736.21
524288,80,42.30,12394.41
1048576,40,83.40,12572.53
2097152,20,165.30,12686.88
4194304,10,416.16,10078.62
8388608,5,1021.35,8213.28
16777216,2,2175.09,7713.35
33554432,1,6066.96,5530.68
67108864,1,12446.37,5391.84
134217728,1,25698.19,5222.85
268435456,1,52585.62,5104.73
