mpirun -np 2 --map by socket ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.42,2.38
2,1000,0.42,4.77
4,1000,0.42,9.52
8,1000,0.42,18.95
16,1000,0.42,38.07
32,1000,0.79,40.26
64,1000,0.58,111.16
128,1000,1.10,116.75
256,1000,1.12,228.81
512,1000,1.23,416.79
1024,1000,1.53,670.81
2048,1000,2.11,972.73
4096,1000,2.97,1379.35
8192,1000,4.70,1742.79
16384,1000,7.12,2301.51
32768,1000,12.93,2533.75
65536,640,23.55,2783.22
131072,320,44.82,2924.59
262144,160,14.60,17950.33
524288,80,26.75,19601.15
1048576,40,60.32,17383.54
2097152,20,159.80,13123.68
4194304,10,337.37,12432.32
8388608,5,739.98,11336.22
16777216,2,2317.31,7239.97
33554432,1,6184.54,5425.54
67108864,1,13036.93,5147.60
134217728,1,25971.73,5167.84
268435456,1,51441.65,5218.25
