#mpirun -np 2 --map-by core --mca pml ob1 --mca btl self, ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.27,0.00
1,1000,0.28,3.54
2,1000,0.28,7.17
4,1000,0.28,14.37
8,1000,0.28,28.38
16,1000,0.29,54.30
32,1000,0.29,108.58
64,1000,0.32,201.88
128,1000,0.37,346.86
256,1000,0.43,592.11
512,1000,0.59,865.41
1024,1000,0.66,1558.65
2048,1000,0.78,2611.25
4096,1000,1.71,2391.25
8192,1000,2.02,4051.40
16384,1000,2.55,6413.58
32768,1000,3.48,9406.93
65536,640,5.57,11761.80
131072,320,9.62,13630.66
262144,160,16.92,15490.28
524288,80,37.70,13907.00
1048576,40,98.51,10644.44
2097152,20,238.57,8790.59
4194304,10,566.72,7400.99
8388608,5,1705.45,4918.72
16777216,2,3980.77,4214.57
33554432,1,8637.86,3884.58
67108864,1,16460.58,4076.94
134217728,1,32455.57,4135.43
268435456,1,63880.45,4202.15
