#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ~./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.47,0.00
1,1000,0.48,2.08
2,1000,0.48,4.18
4,1000,0.48,8.36
8,1000,0.48,16.79
16,1000,0.48,33.63
32,1000,0.50,63.54
64,1000,0.50,128.95
128,1000,0.59,217.48
256,1000,0.64,402.44
512,1000,0.98,523.28
1024,1000,1.04,984.67
2048,1000,1.16,1768.07
4096,1000,1.63,2518.37
8192,1000,2.08,3942.23
16384,1000,3.52,4650.30
32768,1000,5.31,6173.29
65536,640,9.37,6991.16
131072,320,15.29,8571.49
262144,160,27.69,9467.84
524288,80,66.51,7883.05
1048576,40,133.62,7847.45
2097152,20,259.31,8087.43
4194304,10,512.94,8177.01
8388608,5,1057.95,7929.11
16777216,2,2309.28,7265.14
33554432,1,8045.83,4170.41
67108864,1,15796.13,4248.44
134217728,1,31615.94,4245.26
268435456,1,62729.28,4279.27
