#mpirun -np 2 --map-by core --mca pml ob1 --mca btl self, ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.29,0.00
1,1000,0.28,3.54
2,1000,0.28,7.04
4,1000,0.28,14.35
8,1000,0.28,28.56
16,1000,0.30,54.19
32,1000,0.29,109.47
64,1000,0.32,200.34
128,1000,0.38,337.54
256,1000,0.44,588.10
512,1000,0.58,888.50
1024,1000,0.67,1517.73
2048,1000,0.82,2506.82
4096,1000,1.63,2518.50
8192,1000,1.99,4110.77
16384,1000,2.46,6670.83
32768,1000,3.47,9436.78
65536,640,5.42,12099.50
131072,320,9.18,14278.39
262144,160,17.75,14770.24
524288,80,36.62,14317.59
1048576,40,97.87,10713.92
2097152,20,228.71,9169.39
4194304,10,555.32,7552.88
8388608,5,1646.21,5095.72
16777216,2,3869.13,4336.17
33554432,1,8245.25,4069.55
67108864,1,16784.05,3998.37
134217728,1,33016.19,4065.21
268435456,1,64712.18,4148.14
