#mpirun -np 2 --map-by core --mca pml ob1 --mca btl self, ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.27,0.0
1,1000,0.28,3.53
2,1000,0.28,7.13
4,1000,0.28,14.22
8,1000,0.28,28.58
16,1000,0.29,54.96
32,1000,0.29,108.79
64,1000,0.32,198.98
128,1000,0.38,340.57
256,1000,0.44,583.35
512,1000,0.59,875.03
1024,1000,0.67,1529.04
2048,1000,0.81,2518.47
4096,1000,1.7,2410.08
8192,1000,1.98,4130.76
16384,1000,2.52,6493.03
32768,1000,3.55,9238.1
65536,640,5.48,11958.74
131072,320,9.26,14160.88
262144,160,16.98,15442.63
524288,80,36.97,14182.5
1048576,40,98.25,10672.84
2097152,20,237.1,8847.6
4194304,10,563.12,7448.96
8388608,5,1703.79,4926.26
16777216,2,4042.9,4156.74
33554432,1,8494.62,3952.15
67108864,1,16778.37,4000.7
134217728,1,33043.15,4062.33
268435456,1,64516.4,4160.9
