#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.06,0.00
1,1000,5.09,0.20
2,1000,5.07,0.39
4,1000,5.07,0.79
8,1000,5.08,1.58
16,1000,5.08,3.15
32,1000,5.08,6.29
64,1000,5.10,12.55
128,1000,5.12,25.02
256,1000,5.16,49.65
512,1000,6.43,79.57
1024,1000,6.65,154.03
2048,1000,6.86,298.62
4096,1000,7.40,553.27
8192,1000,8.29,988.50
16384,1000,14.60,1122.21
32768,1000,22.25,1473.04
65536,640,39.15,1673.90
131072,320,73.03,1794.73
262144,160,53.76,4876.01
524288,80,89.15,5881.02
1048576,40,171.43,6116.56
2097152,20,306.83,6834.83
4194304,10,643.51,6517.90
8388608,5,1503.97,5577.63
16777216,2,3270.86,5129.30
33554432,1,6545.41,5126.41
67108864,1,13151.07,5102.92
134217728,1,26132.37,5136.07
268435456,1,52827.65,5081.34
