#mpirun -np 2 -ppn 1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.2,0.0
1,1000,1.19,0.84
2,1000,1.19,1.68
4,1000,1.2,3.35
8,1000,1.19,6.72
16,1000,1.19,13.42
32,1000,1.23,26.1
64,1000,1.45,44.16
128,1000,1.51,85.2
256,1000,1.78,144.46
512,1000,1.86,276.47
1024,1000,2.05,500.69
2048,1000,2.78,737.59
4096,1000,3.62,1133.42
8192,1000,4.67,1757.97
16384,1000,6.32,2595.12
32768,1000,9.76,3357.49
65536,640,12.77,5132.31
131072,320,21.9,5985.84
262144,160,32.85,7980.72
524288,80,54.56,9610.76
1048576,40,97.36,10770.79
2097152,20,183.26,11444.55
4194304,10,354.05,11846.62
8388608,5,697.28,12030.49
16777216,2,1383.92,12123.01
33554432,1,2757.15,12169.98
67108864,1,5506.4,12187.45
134217728,1,10989.54,12213.32
268435456,1,21961.43,12223.07
