#mpirun -np 2 --map-by node --mca pml ob1 --mca btl self,tcp ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.96,0.00
1,1000,5.03,0.20
2,1000,5.04,0.40
4,1000,5.04,0.79
8,1000,5.04,1.59
16,1000,5.05,3.17
32,1000,5.06,6.33
64,1000,5.05,12.67
128,1000,5.09,25.17
256,1000,5.15,49.71
512,1000,5.18,98.83
1024,1000,5.84,175.37
2048,1000,5.59,366.17
4096,1000,6.48,631.70
8192,1000,6.97,1174.74
16384,1000,9.07,1806.20
32768,1000,15.33,2137.68
65536,640,29.90,2191.70
131072,320,44.42,2950.66
262144,160,61.92,4233.26
524288,80,97.45,5380.29
1048576,40,163.80,6401.55
2097152,20,319.30,6568.00
4194304,10,661.81,6337.63
8388608,5,1552.51,5403.26
16777216,2,3298.05,5087.02
33554432,1,6717.73,4994.91
67108864,1,13255.42,5062.75
134217728,1,26223.21,5118.28
268435456,1,52119.46,5150.39
