#mpirun -np 2 --map-by node --mca pml ob1 --mca btl self,tcp ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,17.23,0.00
1,1000,17.21,0.06
2,1000,17.30,0.12
4,1000,17.29,0.23
8,1000,17.30,0.46
16,1000,17.33,0.92
32,1000,17.37,1.84
64,1000,17.40,3.68
128,1000,17.89,7.16
256,1000,17.98,14.24
512,1000,18.52,27.64
1024,1000,18.84,54.36
2048,1000,40.29,50.83
4096,1000,40.94,100.04
8192,1000,42.27,193.79
16384,1000,44.68,366.74
32768,1000,58.08,564.18
65536,640,61.16,1071.51
131072,320,123.13,1064.48
262144,160,180.19,1454.80
524288,80,283.61,1848.61
1048576,40,458.29,2288.01
2097152,20,836.74,2506.35
4194304,10,1735.86,2416.27
8388608,5,3780.01,2219.20
16777216,2,7757.46,2162.72
33554432,1,15541.88,2158.97
67108864,1,30511.92,2199.43
134217728,1,59629.86,2250.85
268435456,1,118604.46,2263.28
