mpirun -np 2 --map by socket ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.41,0.00
1,1000,0.40,2.51
2,1000,0.41,4.92
4,1000,0.40,10.06
8,1000,0.40,20.09
16,1000,0.40,40.02
32,1000,0.56,57.18
64,1000,0.56,115.25
128,1000,0.89,143.83
256,1000,0.92,278.13
512,1000,1.13,453.92
1024,1000,1.31,784.36
2048,1000,2.11,972.03
4096,1000,2.99,1370.52
8192,1000,4.79,1710.53
16384,1000,7.19,2277.21
32768,1000,12.72,2575.19
65536,640,23.73,2761.43
131072,320,45.18,2901.33
262144,160,14.58,17981.49
524288,80,25.55,20523.17
1048576,40,56.11,18689.37
2097152,20,142.27,14741.13
4194304,10,287.49,14589.20
8388608,5,607.97,13797.73
16777216,2,1897.59,8841.35
33554432,1,5512.46,6087.02
67108864,1,11745.84,5713.42
134217728,1,23676.56,5668.80
268435456,1,47211.59,5685.80
