#mpirun -np 2 --map-by socket --mca pml ob1 --mca btl self, ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.54,0.0
1,1000,0.61,1.64
2,1000,0.61,3.28
4,1000,0.61,6.54
8,1000,0.61,13.12
16,1000,0.66,24.31
32,1000,0.72,44.42
64,1000,0.84,76.47
128,1000,0.97,131.68
256,1000,1.18,217.11
512,1000,1.04,492.62
1024,1000,1.42,722.28
2048,1000,1.73,1189.08
4096,1000,2.76,1485.95
8192,1000,3.18,2573.39
16384,1000,3.61,4542.23
32768,1000,4.78,6867.76
65536,640,6.44,10196.86
131072,320,11.11,11816.47
262144,160,19.44,13483.91
524288,80,38.75,13534.03
1048576,40,89.4,11735.03
2097152,20,213.69,9817.54
4194304,10,398.59,10523.02
8388608,5,865.91,9688.61
16777216,2,3191.7,5256.56
33554432,1,8344.0,4021.43
67108864,1,16884.47,3974.61
134217728,1,33707.87,3981.8
268435456,1,67395.75,3983.0
